Year,player,age,team_id,pos,votes,pct_of_vote,first,second,third,fourth,fifth,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
2008,Ilya Kovalchuk,24,Atlanta Thrashers,LW,4,0.30,0,0,0,1,1,52,35,87,-12,,,,,,10.7,1.3,0.0,12.0
2008,Daniel Alfredsson,35,Ottawa Senators,RW,3,0.22,0,0,0,0,3,40,49,89,15,,,,,,9.7,1.8,0.0,11.5
2008,Sidney Crosby,20,Pittsburgh Penguins,C,2,0.15,0,0,0,0,2,24,48,72,18,,,,,,7.2,1.9,0.0,9.0
2008,Sergei Gonchar,33,Pittsburgh Penguins,D,2,0.15,0,0,0,0,2,12,53,65,13,,,,,,6.0,5.2,0.0,11.1
2008,Vincent Lecavalier,27,Tampa Bay Lightning,C,2,0.15,0,0,0,0,2,40,52,92,-17,,,,,,9.1,1.6,0.0,10.7
2008,Scott Niedermayer,34,Anaheim Ducks,D,2,0.15,0,0,0,0,2,8,17,25,-2,,,,,,2.3,2.7,0.0,5.0
2009,Alex Ovechkin,23,Washington Capitals,LW,1264,95.04,115,14,2,2,0,56,54,110,8,,,,,,12.5,2.0,0.0,14.5
2009,Evgeni Malkin,22,Pittsburgh Penguins,C,787,59.17,12,71,27,9,8,35,78,113,17,,,,,,10.2,2.4,0.0,12.6
2009,Pavel Datsyuk,30,Detroit Red Wings,C,404,30.38,4,14,38,19,19,32,65,97,34,,,,,,8.9,2.6,0.0,11.5
2009,Steve Mason,20,Columbus Blue Jackets,G,266,20.00,0,13,21,18,16,0,0,0,0,33,20,7,2.29,.916,0.0,0.0,11.2,11.2
2009,Zach Parise,24,New Jersey Devils,LW,257,19.32,0,5,20,31,29,45,49,94,30,,,,,,9.9,2.9,0.0,12.8
2009,Sidney Crosby,21,Pittsburgh Penguins,C,103,7.74,0,3,5,13,18,33,70,103,3,,,,,,9.4,1.7,0.0,11.1
2009,Tim Thomas,34,Boston Bruins,G,100,7.52,0,3,9,7,13,0,1,1,0,36,11,7,2.10,.933,0.0,0.0,14.7,14.7
2009,Zdeno Chara,31,Boston Bruins,D,79,5.94,2,3,2,8,4,19,31,50,23,,,,,,4.8,5.7,0.0,10.5
2009,Joe Thornton,29,San Jose Sharks,C,27,2.03,0,2,1,2,2,25,61,86,16,,,,,,6.8,2.7,0.0,9.5
2009,Roberto Luongo,29,Vancouver Canucks,G,19,1.43,0,2,0,1,2,0,1,1,0,33,13,7,2.34,.920,0.0,0.0,11.1,11.1
2009,Jeff Carter,24,Philadelphia Flyers,C,19,1.43,0,1,0,2,6,46,38,84,23,,,,,,9.2,2.5,0.0,11.7
2009,Jarome Iginla,31,Calgary Flames,RW,19,1.43,0,0,2,2,3,35,54,89,-2,,,,,,7.8,1.7,0.0,9.5
2009,Rick Nash,24,Columbus Blue Jackets,LW,13,0.98,0,0,1,2,2,40,39,79,11,,,,,,7.9,2.2,0.0,10.1
2009,Mike Green,23,Washington Capitals,D,13,0.98,0,0,2,1,0,31,42,73,24,,,,,,9.0,4.9,0.0,13.9
2009,Ryan Getzlaf,23,Anaheim Ducks,C,11,0.83,0,0,1,2,0,25,66,91,5,,,,,,7.3,1.9,0.0,9.2
2009,Evgeni Nabokov,33,San Jose Sharks,G,8,0.60,0,0,1,1,0,0,1,1,0,41,12,8,2.44,.910,0.0,0.0,10.2,10.2
2009,Nicklas Lidstrom,38,Detroit Red Wings,D,7,0.53,0,0,1,0,0,16,43,59,31,,,,,,5.5,5.7,0.0,11.2
2009,Patrick Marleau,29,San Jose Sharks,LW,7,0.53,0,0,0,2,1,38,33,71,16,,,,,,6.5,2.7,0.0,9.2
2009,Cam Ward,24,Carolina Hurricanes,G,7,0.53,0,0,0,2,1,0,1,1,0,39,23,5,2.44,.916,0.0,0.0,12.9,12.9
2009,Henrik Zetterberg,28,Detroit Red Wings,C,6,0.45,0,0,0,1,3,31,42,73,13,,,,,,6.4,1.7,0.0,8.1
2009,Miikka Kiprusoff,32,Calgary Flames,G,6,0.45,0,0,0,2,0,0,3,3,0,45,24,5,2.84,.903,0.0,0.0,11.5,11.5
2009,Chris Mason,32,St. Louis Blues,G,4,0.30,0,0,0,1,1,0,1,1,0,27,21,7,2.41,.916,0.0,0.0,10.6,10.6
2009,Eric Staal,24,Carolina Hurricanes,C,4,0.30,0,0,0,1,1,40,35,75,15,,,,,,7.1,2.7,0.0,9.8
2009,Dan Boyle,32,San Jose Sharks,D,3,0.23,0,0,0,1,0,16,41,57,6,,,,,,5.2,5.3,0.0,10.6
2009,Marian Hossa,30,Detroit Red Wings,RW,3,0.23,0,0,0,1,0,40,31,71,27,,,,,,7.7,2.1,0.0,9.9
2009,Mike Richards,23,Philadelphia Flyers,C,1,0.08,0,0,0,0,1,30,50,80,22,,,,,,7.0,2.4,0.0,9.4
2009,Marc Savard,31,Boston Bruins,C,1,0.08,0,0,0,0,1,25,63,88,25,,,,,,7.3,2.5,0.0,9.8
2010,Henrik Sedin,29,Vancouver Canucks,C,894,67.22,46,34,27,19,4,29,83,112,35,,,,,,10.6,2.9,0.0,13.5
2010,Alex Ovechkin,24,Washington Capitals,LW,834,62.71,40,35,22,22,13,50,59,109,45,,,,,,13.0,2.5,0.0,15.6
2010,Sidney Crosby,22,Pittsburgh Penguins,C,729,54.81,20,35,38,29,7,51,58,109,15,,,,,,12.2,2.4,0.0,14.7
2010,Ryan Miller,29,Buffalo Sabres,G,505,37.97,13,22,24,27,20,0,0,0,0,41,18,8,2.22,.929,0.0,0.0,16.8,16.8
2010,Ilya Bryzgalov,29,Phoenix Coyotes,G,354,26.62,13,6,17,22,31,0,1,1,0,42,20,6,2.29,.920,0.0,0.0,13.9,13.9
2010,Steven Stamkos,19,Tampa Bay Lightning,C,28,2.11,0,0,2,3,9,51,44,95,-2,,,,,,10.9,1.9,0.0,12.8
2010,Patrick Kane,21,Chicago Blackhawks,RW,17,1.28,0,1,0,2,4,30,58,88,16,,,,,,8.1,2.2,0.0,10.3
2010,Martin Brodeur,37,New Jersey Devils,G,16,1.20,0,0,2,0,6,0,3,3,0,45,25,6,2.24,.916,0.0,0.0,13.2,13.2
2010,Craig Anderson,28,Colorado Avalanche,G,10,0.75,1,0,0,0,0,0,3,3,0,38,25,7,2.63,.917,0.0,0.0,14.8,14.8
2010,Patrick Marleau,30,San Jose Sharks,C,10,0.75,0,0,0,3,1,44,39,83,21,,,,,,8.8,2.6,0.0,11.4
2010,Nicklas Backstrom,22,Washington Capitals,C,10,0.75,0,0,0,2,4,33,68,101,37,,,,,,10.0,2.2,0.0,12.2
2010,Joe Thornton,30,San Jose Sharks,C,9,0.68,0,0,0,1,6,20,69,89,17,,,,,,7.3,2.2,0.0,9.6
2010,Zach Parise,25,New Jersey Devils,C,7,0.53,0,0,1,0,2,38,44,82,24,,,,,,8.4,3.1,0.0,11.5
2010,Mike Green,24,Washington Capitals,D,5,0.38,0,0,0,1,2,19,57,76,39,,,,,,8.2,4.8,0.0,13.0
2010,Duncan Keith,26,Chicago Blackhawks,D,3,0.23,0,0,0,0,3,14,55,69,21,,,,,,6.3,6.2,0.0,12.6
2010,Zdeno Chara,32,Boston Bruins,D,3,0.23,0,0,0,1,0,7,37,44,19,,,,,,3.1,7.2,0.0,10.2
2010,Martin St. Louis,34,Tampa Bay Lightning,RW,2,0.15,0,0,0,0,2,29,65,94,-8,,,,,,8.1,1.8,0.0,9.9
2010,Tuukka Rask,22,Boston Bruins,G,2,0.15,0,0,0,0,2,0,3,3,0,22,12,5,1.97,.931,0.0,0.0,10.2,10.2
2010,Nicklas Lidstrom,39,Detroit Red Wings,D,2,0.15,0,0,0,0,2,9,40,49,22,,,,,,3.8,6.9,0.0,10.7
2010,Anze Kopitar,22,Los Angeles Kings,C,2,0.15,0,0,0,0,2,34,47,81,6,,,,,,7.2,2.2,0.0,9.5
2010,Marian Gaborik,27,New York Rangers,RW,2,0.15,0,0,0,0,2,42,44,86,15,,,,,,9.4,2.6,0.0,12.1
2010,Drew Doughty,20,Los Angeles Kings,D,2,0.15,0,0,0,0,2,16,43,59,20,,,,,,5.6,6.2,0.0,11.9
2010,Shea Weber,24,Nashville Predators,D,1,0.08,0,0,0,0,1,16,27,43,0,,,,,,4.3,3.9,0.0,8.2
2010,Tomas Vokoun,33,Florida Panthers,G,1,0.08,0,0,0,0,1,0,2,2,0,23,28,11,2.55,.925,0.0,0.0,15.7,15.7
2010,Paul Stastny,24,Colorado Avalanche,C,1,0.08,0,0,0,0,1,20,59,79,2,,,,,,5.6,1.8,0.0,7.4
2010,Chris Pronger,35,Philadelphia Flyers,D,1,0.08,0,0,0,0,1,10,45,55,22,,,,,,4.6,6.8,0.0,11.4
2010,Evgeni Nabokov,34,San Jose Sharks,G,1,0.08,0,0,0,0,1,0,0,0,0,44,16,10,2.43,.922,0.0,0.0,15.6,15.6
2010,Henrik Lundqvist,27,New York Rangers,G,1,0.08,0,0,0,0,1,0,1,1,0,35,27,10,2.38,.921,0.0,0.0,15.0,15.0
2010,Henrik Zetterberg,29,Detroit Red Wings,LW,1,0.08,0,0,0,0,1,23,47,70,12,,,,,,5.8,2.4,0.0,8.2
2011,Corey Perry,25,Anaheim Ducks,RW,1043,82.78,67,47,8,1,1,50,48,98,9,,,,,,10.8,2.5,0.0,13.3
2011,Daniel Sedin,30,Vancouver Canucks,LW,960,76.19,51,56,9,4,1,41,63,104,30,,,,,,11.5,2.8,0.0,14.3
2011,Martin St. Louis,35,Tampa Bay Lightning,RW,332,26.35,1,6,36,28,16,31,68,99,0,,,,,,9.3,2.0,0.0,11.3
2011,Pekka Rinne,28,Nashville Predators,G,175,13.89,1,2,17,17,15,0,0,0,0,33,22,9,2.12,.930,0.0,0.0,15.1,15.1
2011,Tim Thomas,36,Boston Bruins,G,171,13.57,1,5,15,12,15,0,3,3,0,35,11,9,2.00,.938,0.0,0.0,16.2,16.2
2011,Jonathan Toews,22,Chicago Blackhawks,C,107,8.49,0,2,7,15,13,32,44,76,25,,,,,,7.1,2.7,0.0,9.8
2011,Carey Price,23,Montreal Canadiens,G,90,7.14,2,0,10,4,8,0,2,2,0,38,28,6,2.35,.923,0.0,0.0,15.4,15.4
2011,Ryan Kesler,26,Vancouver Canucks,C,69,5.48,1,3,4,5,3,41,32,73,24,,,,,,7.6,2.7,0.0,10.4
2011,Marc-Andre Fleury,26,Pittsburgh Penguins,G,58,4.60,1,3,1,6,4,0,1,1,0,36,20,5,2.32,.918,0.0,0.0,11.4,11.4
2011,Henrik Sedin,30,Vancouver Canucks,C,57,4.52,0,1,3,8,4,19,75,94,26,,,,,,7.8,2.7,0.0,10.5
2011,Steven Stamkos,20,Tampa Bay Lightning,C,41,3.25,0,0,2,9,4,45,46,91,3,,,,,,10.1,2.0,0.0,12.2
2011,Jarome Iginla,33,Calgary Flames,RW,31,2.46,0,1,1,4,7,43,43,86,0,,,,,,9.2,1.8,0.0,11.0
2011,Zdeno Chara,33,Boston Bruins,D,23,1.83,0,0,2,4,1,14,30,44,33,,,,,,4.0,6.0,0.0,10.0
2011,Alex Ovechkin,25,Washington Capitals,LW,19,1.51,0,0,0,4,7,32,53,85,24,,,,,,8.1,3.0,0.0,11.1
2011,Henrik Lundqvist,28,New York Rangers,G,19,1.51,0,0,1,2,8,0,4,4,0,36,27,5,2.28,.923,0.0,0.0,14.0,14.0
2011,Henrik Zetterberg,30,Detroit Red Wings,LW,16,1.27,0,0,2,1,3,24,56,80,-1,,,,,,6.8,1.4,0.0,8.2
2011,Roberto Luongo,31,Vancouver Canucks,G,15,1.19,1,0,1,0,0,0,3,3,0,38,15,7,2.11,.928,0.0,0.0,13.6,13.6
2011,Ilya Bryzgalov,30,Phoenix Coyotes,G,13,1.03,0,0,2,0,3,0,0,0,0,36,20,10,2.48,.921,0.0,0.0,14.7,14.7
2011,Nicklas Lidstrom,40,Detroit Red Wings,D,11,0.87,0,0,2,0,1,16,46,62,-2,,,,,,6.2,3.3,0.0,9.5
2011,Kris Letang,23,Pittsburgh Penguins,D,5,0.40,0,0,1,0,0,8,42,50,15,,,,,,4.1,5.7,0.0,9.8
2011,Ryan Getzlaf,25,Anaheim Ducks,C,5,0.40,0,0,1,0,0,19,57,76,14,,,,,,6.1,2.3,0.0,8.4
2011,Sidney Crosby,23,Pittsburgh Penguins,C,5,0.40,0,0,1,0,0,32,34,66,20,,,,,,8.2,1.9,0.0,10.1
2011,Chris Pronger,36,Philadelphia Flyers,D,3,0.24,0,0,0,1,0,4,21,25,7,,,,,,1.9,2.3,0.0,4.2
2011,Lubomir Visnovsky,34,Anaheim Ducks,D,3,0.24,0,0,0,1,0,18,50,68,18,,,,,,7.0,5.8,0.0,12.8
2011,Shea Weber,25,Nashville Predators,D,2,0.16,0,0,0,0,2,16,32,48,7,,,,,,4.6,5.5,0.0,10.1
2011,Patrick Marleau,31,San Jose Sharks,C,1,0.08,0,0,0,0,1,37,36,73,-3,,,,,,7.1,1.7,0.0,8.8
2011,Ryan Miller,30,Buffalo Sabres,G,1,0.08,0,0,0,0,1,0,2,2,0,34,22,8,2.59,.916,0.0,0.0,12.4,12.4
2011,Keith Yandle,24,Phoenix Coyotes,D,1,0.08,0,0,0,0,1,11,48,59,12,,,,,,5.4,4.5,0.0,9.9
2012,Evgeni Malkin,25,Pittsburgh Penguins,C,1473,98.86,144,4,1,0,0,50,59,109,18,,,,,,13.4,2.3,0.0,15.7
2012,Steven Stamkos,21,Tampa Bay Lightning,C,598,40.13,1,54,24,24,18,60,37,97,7,,,,,,12.8,1.9,0.0,14.6
2012,Henrik Lundqvist,29,New York Rangers,G,556,37.32,3,35,36,28,17,0,2,2,0,39,18,5,1.97,.930,0.0,0.0,14.1,14.1
2012,Claude Giroux,24,Philadelphia Flyers,RW,458,30.74,0,25,34,28,29,28,65,93,6,,,,,,8.9,1.6,0.0,10.6
2012,Jonathan Quick,26,Los Angeles Kings,G,357,23.96,1,22,23,19,21,0,2,2,0,35,21,13,1.95,.929,0.0,0.0,14.7,14.7
2012,Jason Spezza,28,Ottawa Senators,C,134,8.99,0,2,14,11,17,34,50,84,11,,,,,,8.8,1.7,0.0,10.5
2012,Pekka Rinne,29,Nashville Predators,G,64,4.30,0,4,2,6,8,0,5,5,0,43,18,8,2.39,.923,0.0,0.0,15.5,15.5
2012,Erik Karlsson,21,Ottawa Senators,D,52,3.49,0,0,4,7,11,19,59,78,16,,,,,,8.6,4.5,0.0,13.1
2012,Henrik Sedin,31,Vancouver Canucks,C,40,2.68,0,2,2,5,1,14,67,81,23,,,,,,6.1,2.6,0.0,8.7
2012,Ilya Kovalchuk,28,New Jersey Devils,LW,38,2.55,0,1,2,5,6,37,46,83,-9,,,,,,8.2,2.3,0.0,10.5
2012,Mike Smith,29,Phoenix Coyotes,G,16,1.07,0,0,0,4,4,0,2,2,0,38,18,10,2.21,.930,0.0,0.0,16.7,16.7
2012,Zdeno Chara,34,Boston Bruins,D,15,1.01,0,0,1,3,1,12,40,52,33,,,,,,5.1,5.9,0.0,10.9
2012,Shea Weber,26,Nashville Predators,D,12,0.81,0,0,1,2,1,19,30,49,21,,,,,,5.2,6.2,0.0,11.4
2012,Pavel Datsyuk,33,Detroit Red Wings,C,11,0.74,0,0,1,1,3,19,48,67,21,,,,,,5.7,2.2,0.0,7.9
2012,Brian Elliott,26,St. Louis Blues,G,10,0.67,0,0,1,1,2,0,0,0,0,23,10,4,1.56,.940,0.0,0.0,9.0,9.0
2012,Ray Whitney,39,Phoenix Coyotes,LW,8,0.54,0,0,1,1,0,24,53,77,26,,,,,,6.9,2.8,0.0,9.7
2012,Marian Gaborik,29,New York Rangers,RW,8,0.54,0,0,1,0,3,41,35,76,15,,,,,,8.6,2.6,0.0,11.2
2012,Patrice Bergeron,26,Boston Bruins,C,7,0.47,0,0,0,2,1,22,42,64,36,,,,,,5.7,2.7,0.0,8.3
2012,David Backes,27,St. Louis Blues,RW,6,0.40,0,0,1,0,1,24,30,54,15,,,,,,4.2,2.8,0.0,7.0
2012,Brian Campbell,32,Florida Panthers,D,3,0.20,0,0,0,1,0,4,49,53,-9,,,,,,3.8,4.6,0.0,8.4
2012,Radim Vrbata,30,Phoenix Coyotes,RW,3,0.20,0,0,0,1,0,35,27,62,24,,,,,,6.8,2.6,0.0,9.3
2012,Jamie Benn,22,Dallas Stars,LW,2,0.13,0,0,0,0,2,26,37,63,15,,,,,,6.2,2.0,0.0,8.2
2012,James Neal,24,Pittsburgh Penguins,LW,2,0.13,0,0,0,0,2,40,41,81,6,,,,,,9.3,1.7,0.0,11.0
2012,Marian Hossa,33,Chicago Blackhawks,RW,1,0.07,0,0,0,0,1,29,48,77,18,,,,,,7.3,2.1,0.0,9.4
2013,Alex Ovechkin,27,Washington Capitals,RW,1090,60.89,50,43,40,27,8,32,24,56,2,,,,,,7.0,1.0,0.0,8.0
2013,Sidney Crosby,25,Pittsburgh Penguins,C,1058,59.11,46,42,41,29,12,15,41,56,26,,,,,,5.8,1.7,0.0,7.5
2013,John Tavares,22,New York Islanders,C,919,51.34,38,38,33,29,21,28,19,47,-2,,,,,,5.6,1.0,0.0,6.6
2013,Jonathan Toews,24,Chicago Blackhawks,C,886,49.50,39,35,29,29,19,23,25,48,28,,,,,,5.6,2.0,0.0,7.6
2013,Sergei Bobrovsky,24,Columbus Blue Jackets,G,311,17.37,4,12,13,25,47,0,0,0,0,21,11,6,2.00,.932,0.0,0.0,9.2,9.2
2013,Patrick Kane,24,Chicago Blackhawks,RW,157,8.77,2,6,9,14,8,23,32,55,11,,,,,,6.3,1.3,0.0,7.6
2013,Ryan Getzlaf,27,Anaheim Ducks,C,96,5.36,0,0,8,11,23,15,34,49,14,,,,,,4.6,1.5,0.0,6.1
2013,Steven Stamkos,22,Tampa Bay Lightning,C,28,1.56,0,1,2,2,5,29,28,57,-4,,,,,,6.4,0.7,0.0,7.1
2013,Martin St. Louis,37,Tampa Bay Lightning,RW,20,1.12,0,1,0,2,7,17,43,60,0,,,,,,5.4,0.8,0.0,6.3
2013,Pavel Datsyuk,34,Detroit Red Wings,C,18,1.01,0,0,1,2,7,15,34,49,21,,,,,,4.5,2.1,0.0,6.5
2013,Antti Niemi,29,San Jose Sharks,G,11,0.61,0,0,0,1,8,0,1,1,0,24,12,6,2.16,.924,0.0,0.0,9.2,9.2
2013,Craig Anderson,31,Ottawa Senators,G,10,0.56,0,1,0,1,0,0,0,0,0,12,9,2,1.69,.941,0.0,0.0,6.5,6.5
2013,P.K. Subban,23,Montreal Canadiens,D,10,0.56,0,0,1,1,2,11,27,38,12,,,,,,4.3,2.9,0.0,7.1
2013,Henrik Sedin,32,Vancouver Canucks,C,5,0.28,0,0,1,0,0,11,34,45,19,,,,,,3.8,1.9,0.0,5.6
2013,Evgeni Nabokov,37,New York Islanders,G,5,0.28,0,0,1,0,0,0,4,4,0,23,11,7,2.50,.910,0.0,0.0,6.7,6.7
2013,Chris Kunitz,33,Pittsburgh Penguins,LW,5,0.28,0,0,0,1,2,22,30,52,30,,,,,,5.8,2.0,0.0,7.8
2013,Niklas Backstrom,34,Minnesota Wild,G,3,0.17,0,0,0,1,0,0,0,0,0,24,15,3,2.48,.909,0.0,0.0,6.2,6.2
2013,Patrice Bergeron,27,Boston Bruins,C,3,0.17,0,0,0,1,0,10,22,32,24,,,,,,2.4,1.9,0.0,4.3
2013,Ilya Kovalchuk,29,New Jersey Devils,LW,3,0.17,0,0,0,1,0,11,20,31,-6,,,,,,2.3,1.0,0.0,3.3
2013,Carey Price,25,Montreal Canadiens,G,3,0.17,0,0,0,1,0,0,0,0,0,21,13,4,2.59,.905,0.0,0.0,5.4,5.4
2013,Ryan Suter,28,Minnesota Wild,D,3,0.17,0,0,0,1,0,4,28,32,2,,,,,,2.4,3.6,0.0,6.0
2013,Henrik Zetterberg,32,Detroit Red Wings,LW,3,0.17,0,0,0,0,3,11,37,48,2,,,,,,3.9,1.2,0.0,5.2
2013,Francois Beauchemin,32,Anaheim Ducks,D,1,0.06,0,0,0,0,1,6,18,24,19,,,,,,2.0,3.8,0.0,5.8
2013,Jeff Carter,28,Los Angeles Kings,C,1,0.06,0,0,0,0,1,26,7,33,0,,,,,,4.2,1.0,0.0,5.2
2013,Pascal Dupuis,33,Pittsburgh Penguins,LW,1,0.06,0,0,0,0,1,20,18,38,31,,,,,,4.1,2.0,0.0,6.1
2013,Henrik Lundqvist,30,New York Rangers,G,1,0.06,0,0,0,0,1,0,1,1,0,24,16,3,2.05,.926,0.0,0.0,9.3,9.3
2013,Zach Parise,28,Minnesota Wild,C,1,0.06,0,0,0,0,1,18,20,38,2,,,,,,3.4,1.3,0.0,4.8
2013,James Reimer,24,Toronto Maple Leafs,G,1,0.06,0,0,0,0,1,0,1,1,0,19,8,5,2.46,.924,0.0,0.0,7.5,7.5
2013,Eric Staal,28,Carolina Hurricanes,C,1,0.06,0,0,0,0,1,18,35,53,5,,,,,,5.2,1.2,0.0,6.4
2014,Sidney Crosby,26,Pittsburgh Penguins,C,1340,97.81,128,8,1,0,0,36,68,104,18,,,,,,10.7,2.8,0.0,13.5
2014,Ryan Getzlaf,28,Anaheim Ducks,C,877,64.01,5,96,28,5,0,31,56,87,28,,,,,,8.8,2.4,0.0,11.2
2014,Claude Giroux,26,Philadelphia Flyers,C,435,31.75,2,15,42,27,19,28,58,86,7,,,,,,8.1,2.1,0.0,10.2
2014,Semyon Varlamov,25,Colorado Avalanche,G,256,18.69,1,8,23,22,9,0,3,3,,41,14,6,2.41,.927,0.0,0.0,15.5,15.5
2014,Patrice Bergeron,28,Boston Bruins,C,137,10.00,0,4,9,17,13,30,32,62,38,,,,,,6.4,2.8,0.0,9.2
2014,Tyler Seguin,22,Dallas Stars,C,84,6.13,0,1,6,12,11,37,47,84,16,,,,,,9.3,2.2,0.0,11.6
2014,Joe Pavelski,29,San Jose Sharks,C,71,5.18,0,0,3,11,23,41,38,79,23,,,,,,8.8,2.8,0.0,11.5
2014,Anze Kopitar,26,Los Angeles Kings,C,58,4.23,0,0,4,9,11,29,41,70,34,,,,,,6.4,3.7,0.0,10.0
2014,Jonathan Toews,25,Chicago Blackhawks,C,53,3.87,0,2,4,4,7,28,40,68,26,,,,,,6.4,2.3,0.0,8.7
2014,Ben Bishop,27,Tampa Bay Lightning,G,52,3.80,0,0,5,6,9,0,2,2,,37,14,7,2.23,.924,0.0,0.0,12.9,12.9
2014,Tuukka Rask,26,Boston Bruins,G,35,2.55,0,1,2,5,3,0,2,2,,36,15,6,2.04,.930,0.0,0.0,13.1,13.1
2014,Jamie Benn,24,Dallas Stars,C,35,2.55,0,1,2,4,6,34,45,79,21,,,,,,8.4,2.5,0.0,10.9
2014,Corey Perry,28,Anaheim Ducks,RW,29,2.12,0,0,3,4,2,43,39,82,32,,,,,,9.7,2.5,0.0,12.3
2014,Carey Price,26,Montreal Canadiens,G,20,1.46,1,0,1,0,5,0,2,2,,34,20,5,2.32,.927,0.0,0.0,13.9,13.9
2014,Duncan Keith,30,Chicago Blackhawks,D,19,1.39,0,0,1,3,5,6,55,61,22,,,,,,5.1,4.9,0.0,10.0
2014,Gustav Nyquist,24,Detroit Red Wings,RW,13,0.95,0,1,0,2,0,28,20,48,16,,,,,,6.0,1.7,0.0,7.7
2014,Matt Duchene,23,Colorado Avalanche,C,11,0.80,0,0,1,1,3,23,47,70,8,,,,,,6.6,1.5,0.0,8.1
2014,Alex Steen,29,St. Louis Blues,LW,9,0.66,0,0,1,1,1,33,29,62,17,,,,,,6.7,2.3,0.0,9.1
2014,John Tavares,23,New York Islanders,C,9,0.66,0,0,1,1,1,24,42,66,-6,,,,,,6.7,1.1,0.0,7.7
2014,Patrick Sharp,32,Chicago Blackhawks,LW,7,0.51,0,0,0,2,1,34,44,78,13,,,,,,8.2,1.8,0.0,10.0
2014,Shea Weber,28,Nashville Predators,D,4,0.29,0,0,0,1,1,23,33,56,-2,,,,,,6.2,4.5,0.0,10.8
2014,Joe Thornton,34,San Jose Sharks,C,3,0.22,0,0,0,0,3,11,65,76,20,,,,,,5.3,2.6,0.0,7.9
2014,Jaromir Jagr,41,New Jersey Devils,RW,1,0.07,0,0,0,0,1,24,43,67,16,,,,,,5.8,2.9,0.0,8.7
2014,Patrick Marleau,34,San Jose Sharks,LW,1,0.07,0,0,0,0,1,33,37,70,0,,,,,,6.7,1.8,0.0,8.6
2014,Alex Ovechkin,28,Washington Capitals,LW,1,0.07,0,0,0,0,1,51,28,79,-35,,,,,,9.9,0.3,0.0,10.2
2014,Ryan Suter,29,Minnesota Wild,D,1,0.07,0,0,0,0,1,8,35,43,15,,,,,,2.6,6.9,0.0,9.5
2015,Carey Price,27,Montreal Canadiens,G,1498,95.41,139,14,2,0,0,0,1,1,0,44,16,6,1.96,.933,0.0,0.0,16.2,16.2
2015,Alex Ovechkin,29,Washington Capitals,LW,888,56.56,8,75,45,18,4,53,28,81,10,,,,,,10.4,2.2,0.0,12.6
2015,John Tavares,24,New York Islanders,C,739,47.07,4,41,63,27,16,38,48,86,5,,,,,,9.5,1.8,0.0,11.2
2015,Devan Dubnyk,28,TOT,G,410,26.11,6,16,25,30,23,0,2,2,0,36,14,4,2.07,.929,0.0,0.0,12.6,12.6
2015,Sidney Crosby,27,Pittsburgh Penguins,C,138,8.79,0,2,3,25,34,28,56,84,5,,,,,,8.2,2.0,0.0,10.3
2015,Ryan Getzlaf,29,Anaheim Ducks,C,124,7.90,0,2,6,20,20,25,45,70,15,,,,,,6.5,2.1,0.0,8.6
2015,Rick Nash,30,New York Rangers,LW,70,4.46,0,1,4,9,16,42,27,69,29,,,,,,8.9,2.5,0.0,11.4
2015,Pekka Rinne,32,Nashville Predators,G,49,3.12,0,2,4,4,3,0,1,1,0,41,17,6,2.18,.923,0.0,0.0,12.6,12.6
2015,Erik Karlsson,24,Ottawa Senators,D,32,2.04,0,1,1,5,5,21,45,66,7,,,,,,7.2,4.7,0.0,11.9
2015,Jonathan Toews,26,Chicago Blackhawks,C,31,1.97,0,1,3,2,3,28,38,66,30,,,,,,6.2,3.2,0.0,9.4
2015,Steven Stamkos,24,Tampa Bay Lightning,C,29,1.85,0,1,0,5,7,43,29,72,2,,,,,,8.6,1.5,0.0,10.1
2015,Jamie Benn,25,Dallas Stars,LW,23,1.46,0,0,0,5,8,35,52,87,1,,,,,,9.3,1.5,0.0,10.7
2015,Jiri Hudler,31,Calgary Flames,C,16,1.02,0,1,0,3,0,31,45,76,17,,,,,,7.9,2.2,0.0,10.2
2015,Vladimir Tarasenko,23,St. Louis Blues,RW,14,0.89,0,0,0,3,5,37,36,73,27,,,,,,8.5,2.6,0.0,11.2
2015,Andrew Hammond,26,Ottawa Senators,G,9,0.57,0,0,0,1,6,0,1,1,0,20,1,2,1.79,.941,0.0,0.0,6.5,6.5
2015,P.K. Subban,25,Montreal Canadiens,D,5,0.32,0,0,1,0,0,15,45,60,21,,,,,,5.8,6.6,0.0,12.4
2015,Drew Doughty,25,Los Angeles Kings,D,2,0.13,0,0,0,0,2,7,39,46,3,,,,,,3.0,5.6,0.0,8.6
2015,Zach Parise,30,Minnesota Wild,LW,1,0.06,0,0,0,0,1,33,29,62,21,,,,,,6.9,2.5,0.0,9.4
2015,Braden Holtby,25,Washington Capitals,G,1,0.06,0,0,0,0,1,0,2,2,0,41,20,10,2.22,.923,0.0,0.0,14.4,14.4
2015,Marc-Andre Fleury,30,Pittsburgh Penguins,G,1,0.06,0,0,0,0,1,0,1,1,0,34,20,9,2.32,.920,0.0,0.0,12.2,12.2
2015,Dustin Byfuglien,29,Winnipeg Jets,D,1,0.06,0,0,0,0,1,18,27,45,5,,,,,,5.3,3.5,0.0,8.8
