player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Philippe Myers,22,PHI,D,1,1,2,-5,,,,,,,,,0.2
Tyler Myers,28,WPG,D,9,22,31,11,,,,,,,,,5.8
Vladislav Namestnikov,26,NYR,C,11,20,31,-7,,,,,,,,,2.0
Riley Nash,29,CBJ,C,3,9,12,-8,,,,,,,,,-0.2
James Neal,31,CGY,LW,7,12,19,-5,,,,,,,,,0.6
Martin Necas,20,CAR,C,1,1,2,0,,,,,,,,,0.2
Brock Nelson,27,NYI,C,25,28,53,20,,,,,,,,,6.3
Casey Nelson,26,BUF,D,1,5,6,1,,,,,,,,,1.6
Patrik Nemeth,26,COL,D,1,9,10,5,,,,,,,,,2.3
Valeri Nichushkin,23,DAL,RW,0,10,10,-4,,,,,,,,,-0.1
Nino Niederreiter,26,TOT,RW,23,30,53,-4,,,,,,,,,5.6
Nino Niederreiter,26,MIN,RW,9,14,23,-11,,,,,,,,,1.9
Nino Niederreiter,26,CAR,RW,14,16,30,7,,,,,,,,,3.7
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Frans Nielsen,34,DET,C,10,25,35,-7,,,,,,,,,2.2
Matthew Nieto,26,COL,LW,4,19,23,2,,,,,,,,,1.3
Boo Nieves,25,NYR,C,4,6,10,-4,,,,,,,,,0.6
Sami Niku,22,WPG,D,1,3,4,0,,,,,,,,,0.7
Jacob Nilsson,25,CHI,C,0,0,0,-2,,,,,,,,,-0.1
Matt Niskanen,32,WSH,D,8,17,25,-3,,,,,,,,,3.6
Stefan Noesen,25,NJD,RW,3,5,8,-19,,,,,,,,,-0.3
Nelson Nogier,22,WPG,D,0,0,0,0,,,,,,,,,0.0
Jordan Nolan,29,STL,C,0,2,2,2,,,,,,,,,0.1
Joakim Nordstrom,26,BOS,C,7,5,12,0,,,,,,,,,0.4
Tomas Nosek,26,VEG,C,8,9,17,-10,,,,,,,,,0.8
Ryan Nugent-Hopkins,25,EDM,C,28,41,69,-13,,,,,,,,,6.6
Darnell Nurse,23,EDM,D,10,31,41,-5,,,,,,,,,6.6
Markus Nutivaara,24,CBJ,D,5,16,21,3,,,,,,,,,4.2
Alexander Nylander,20,BUF,LW,2,2,4,-4,,,,,,,,,0.2
William Nylander,22,TOR,C,7,20,27,-4,,,,,,,,,1.6
Gustav Nyquist,29,TOT,RW,22,38,60,1,,,,,,,,,5.8
Gustav Nyquist,29,DET,RW,16,33,49,0,,,,,,,,,4.6
Gustav Nyquist,29,SJS,RW,6,5,11,1,,,,,,,,,1.2
Logan O'Connor,22,COL,RW,0,0,0,-2,,,,,,,,,-0.1
Daniel O'Regan,25,BUF,C,0,0,0,0,,,,,,,,,0.0
Ryan O'Reilly,27,STL,C,28,49,77,22,,,,,,,,,8.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Jordan Oesterle,26,ARI,D,6,14,20,-3,,,,,,,,,4.6
Kyle Okposo,30,BUF,RW,14,15,29,-9,,,,,,,,,2.3
Jamie Oleksiak,26,TOT,D,4,8,12,5,,,,,,,,,2.7
Jamie Oleksiak,26,PIT,D,4,7,11,5,,,,,,,,,2.1
Jamie Oleksiak,26,DAL,D,0,1,1,0,,,,,,,,,0.5
Victor Olofsson,23,BUF,RW,2,2,4,1,,,,,,,,,0.5
Dmitry Orlov,27,WSH,D,3,26,29,3,,,,,,,,,4.0
Brooks Orpik,38,WSH,D,2,7,9,8,,,,,,,,,2.0
T.J. Oshie,32,WSH,C,25,29,54,5,,,,,,,,,5.6
Xavier Ouellet,25,MTL,D,0,3,3,-3,,,,,,,,,0.3
Alex Ovechkin,33,WSH,LW,51,38,89,7,,,,,,,,,11.0
Igor Ozhiganov,26,TOR,D,3,4,7,0,,,,,,,,,1.2
Magnus Paajarvi,27,OTT,LW,11,8,19,-14,,,,,,,,,0.7
Max Pacioretty,30,VEG,LW,22,18,40,-13,,,,,,,,,4.1
Jean-Gabriel Pageau,26,OTT,C,4,8,12,-12,,,,,,,,,0.0
Ondrej Palat,27,TBL,LW,8,26,34,4,,,,,,,,,2.5
Kyle Palmieri,27,NJD,RW,27,23,50,-9,,,,,,,,,5.6
Artemi Panarin,27,CBJ,LW,28,59,87,14,,,,,,,,,9.7
Richard Panik,27,ARI,RW,14,19,33,-3,,,,,,,,,3.2
Cedric Paquette,25,TBL,C,13,4,17,7,,,,,,,,,1.4
Colton Parayko,25,STL,D,10,18,28,20,,,,,,,,,7.2
Zach Parise,34,MIN,LW,28,33,61,-2,,,,,,,,,6.9
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
David Pastrnak,22,BOS,RW,38,43,81,6,,,,,,,,,10.2
Greg Pateryn,28,MIN,D,1,6,7,-11,,,,,,,,,2.1
Nolan Patrick,20,PHI,C,13,18,31,-8,,,,,,,,,2.2
Nick Paul,23,OTT,LW,1,1,2,-10,,,,,,,,,-0.4
Joe Pavelski,34,SJS,C,38,26,64,-4,,,,,,,,,7.3
Tanner Pearson,26,TOT,LW,18,9,27,-15,,,,,,,,,2.2
Tanner Pearson,26,PIT,LW,9,5,14,-6,,,,,,,,,1.1
Tanner Pearson,26,VAN,LW,9,3,12,0,,,,,,,,,1.7
Tanner Pearson,26,LAK,LW,0,1,1,-9,,,,,,,,,-0.6
Matthew Peca,25,MTL,C,3,7,10,-14,,,,,,,,,0.0
Adam Pelech,24,NYI,D,5,16,21,22,,,,,,,,,5.9
Anthony Peluso,29,CGY,RW,0,0,0,-1,,,,,,,,,-0.1
Brendan Perlini,22,TOT,LW,14,7,21,-17,,,,,,,,,1.5
Brendan Perlini,22,CHI,LW,12,3,15,-12,,,,,,,,,1.3
Brendan Perlini,22,ARI,LW,2,4,6,-5,,,,,,,,,0.3
Mathieu Perreault,31,WPG,C,15,15,30,-1,,,,,,,,,2.7
David Perron,30,STL,LW,23,23,46,3,,,,,,,,,5.5
Corey Perry,33,ANA,RW,6,4,10,-16,,,,,,,,,0.4
Brett Pesce,24,CAR,D,7,22,29,35,,,,,,,,,7.9
Nic Petan,23,TOT,C,1,2,3,-5,,,,,,,,,0.0
Nic Petan,23,WPG,C,0,2,2,-2,,,,,,,,,0.0
Nic Petan,23,TOR,C,1,0,1,-3,,,,,,,,,0.0
Alexander Petrovic,26,TOT,D,0,2,2,-15,,,,,,,,,-0.4
Alexander Petrovic,26,FLA,D,0,1,1,-8,,,,,,,,,-0.1
Alexander Petrovic,26,EDM,D,0,1,1,-7,,,,,,,,,-0.3
Jeff Petry,31,MTL,D,13,33,46,-5,,,,,,,,,6.8
Elias Pettersson,20,VAN,C,28,38,66,3,,,,,,,,,7.8
Marcus Pettersson,22,TOT,D,2,23,25,17,,,,,,,,,5.0
Marcus Pettersson,22,PIT,D,2,17,19,13,,,,,,,,,3.5
Marcus Pettersson,22,ANA,D,0,6,6,4,,,,,,,,,1.4
Dion Phaneuf,33,LAK,D,1,5,6,-21,,,,,,,,,0.4
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Blake Pietila,25,NJD,LW,0,1,1,-7,,,,,,,,,-0.5
Alex Pietrangelo,29,STL,D,13,28,41,2,,,,,,,,,7.3
Lawrence Pilut,23,BUF,D,1,5,6,-8,,,,,,,,,0.9
Neal Pionk,23,NYR,D,6,20,26,-16,,,,,,,,,3.4
Brandon Pirri,27,VEG,C,12,6,18,7,,,,,,,,,2.6
Rem Pitlick,21,NSH,C,0,0,0,0,,,,,,,,,0.0
Tyler Pitlick,27,DAL,C,8,4,12,-2,,,,,,,,,1.1
Tomas Plekanec,36,MTL,C,1,0,1,0,,,,,,,,,0.1
Ryan Poehling,20,MTL,C,3,0,3,3,,,,,,,,,0.7
Brayden Point,22,TBL,C,41,51,92,27,,,,,,,,,11.4
Roman Polak,32,DAL,D,1,8,9,6,,,,,,,,,3.8
Jason Pominville,36,BUF,RW,16,15,31,-4,,,,,,,,,3.2
Derrick Pouliot,25,VAN,D,3,9,12,-1,,,,,,,,,2.7
Nate Prosser,32,MIN,D,0,0,0,1,,,,,,,,,0.3
Dalton Prout,28,CGY,D,1,1,2,1,,,,,,,,,0.5
Ivan Provorov,22,PHI,D,7,19,26,-16,,,,,,,,,3.7
Matt Puempel,26,DET,LW,1,0,1,-2,,,,,,,,,0.0
Jesse Puljujarvi,20,EDM,RW,4,5,9,-14,,,,,,,,,-0.1
Ryan Pulock,24,NYI,D,9,28,37,21,,,,,,,,,8.3
Tom Pyatt,31,OTT,C,0,2,2,-16,,,,,,,,,-1.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Mark Pysyk,27,FLA,D,1,10,11,-1,,,,,,,,,2.3
John Quenneville,22,NJD,C,1,0,1,-1,,,,,,,,,-0.1
Alan Quine,25,CGY,C,3,2,5,0,,,,,,,,,0.6
Lukas Radil,28,SJS,C,7,4,11,7,,,,,,,,,1.3
Alexander Radulov,32,DAL,RW,29,43,72,22,,,,,,,,,9.1
Brogan Rafferty,23,VAN,D,0,0,0,-1,,,,,,,,,0.0
Michael Raffl,30,PHI,LW,6,12,18,-1,,,,,,,,,1.0
Rickard Rakell,25,ANA,RW,18,25,43,-13,,,,,,,,,3.9
Mikko Rantanen,22,COL,RW,31,56,87,13,,,,,,,,,9.8
Victor Rask,25,TOT,C,3,6,9,-4,,,,,,,,,0.2
Victor Rask,25,CAR,C,1,5,6,-3,,,,,,,,,0.1
Victor Rask,25,MIN,C,2,1,3,-1,,,,,,,,,0.1
Michael Rasmussen,19,DET,C,8,10,18,-8,,,,,,,,,1.0
Ty Rattie,25,EDM,RW,4,7,11,-2,,,,,,,,,0.5
Kyle Rau,26,MIN,C,0,1,1,0,,,,,,,,,0.0
Matt Read,32,MIN,RW,1,0,1,-2,,,,,,,,,-0.1
Ryan Reaves,32,VEG,RW,9,11,20,1,,,,,,,,,1.6
Mike Reilly,25,MTL,D,3,8,11,0,,,,,,,,,2.1
Sam Reinhart,23,BUF,C,22,43,65,-10,,,,,,,,,6.0
Sheldon Rempal,23,LAK,RW,0,0,0,-1,,,,,,,,,-0.1
Anthony Richard,22,NSH,C,0,0,0,-1,,,,,,,,,-0.1
Brad Richardson,33,ARI,C,19,8,27,6,,,,,,,,,3.7
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Tobias Rieder,26,EDM,C,0,11,11,-8,,,,,,,,,-0.6
Morgan Rielly,24,TOR,D,20,52,72,24,,,,,,,,,11.7
Juuso Riikola,25,PIT,D,2,3,5,3,,,,,,,,,1.2
Zac Rinaldo,28,NSH,C,1,2,3,1,,,,,,,,,0.2
Rasmus Ristolainen,24,BUF,D,5,38,43,-41,,,,,,,,,4.3
Brett Ritchie,25,DAL,RW,4,2,6,-7,,,,,,,,,0.1
Nick Ritchie,23,ANA,LW,9,22,31,6,,,,,,,,,3.0
Eric Robinson,23,CBJ,LW,0,0,0,-4,,,,,,,,,-0.4
Jack Rodewald,24,OTT,RW,0,0,0,0,,,,,,,,,-0.1
Evan Rodrigues,25,BUF,C,9,20,29,-7,,,,,,,,,1.8
Kevin Rooney,25,NJD,C,6,4,10,-4,,,,,,,,,0.8
Calle Rosen,24,TOR,D,1,0,1,-3,,,,,,,,,0.0
Jack Roslovic,22,WPG,C,9,15,24,-2,,,,,,,,,1.9
Antoine Roussel,29,VAN,LW,9,22,31,5,,,,,,,,,2.9
Carter Rowney,29,ANA,RW,7,13,20,0,,,,,,,,,1.6
Kevin Roy,25,ANA,C,0,0,0,-1,,,,,,,,,-0.1
Matt Roy,23,LAK,D,2,4,6,-1,,,,,,,,,1.3
Nicolas Roy,21,CAR,C,0,0,0,0,,,,,,,,,-0.1
Chad Ruhwedel,28,PIT,D,1,1,2,-9,,,,,,,,,-0.3
Kris Russell,31,EDM,D,3,13,16,5,,,,,,,,,3.7
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Patrick Russell,26,EDM,RW,0,0,0,0,,,,,,,,,-0.1
Bryan Rust,26,PIT,RW,18,17,35,10,,,,,,,,,3.7
Jan Rutta,28,TOT,D,2,6,8,4,,,,,,,,,1.5
Jan Rutta,28,CHI,D,2,4,6,0,,,,,,,,,0.9
Jan Rutta,28,TBL,D,0,2,2,4,,,,,,,,,0.6
Bobby Ryan,31,OTT,LW,15,27,42,-29,,,,,,,,,2.5
Derek Ryan,32,CGY,C,13,25,38,21,,,,,,,,,3.7
Joakim Ryan,25,SJS,D,0,7,7,-1,,,,,,,,,0.9
Kerby Rychel,24,CGY,LW,0,0,0,-1,,,,,,,,,-0.1
Brandon Saad,26,CHI,LW,23,24,47,-9,,,,,,,,,3.9
Miikka Salomaki,25,NSH,RW,3,4,7,5,,,,,,,,,0.6
Zach Sanford,24,STL,LW,8,12,20,8,,,,,,,,,2.0
Travis Sanheim,22,PHI,D,9,26,35,-4,,,,,,,,,5.3
Steven Santini,23,NJD,D,1,3,4,-6,,,,,,,,,0.9
Ashton Sautner,24,VAN,D,0,1,1,-2,,,,,,,,,0.2
David Savard,28,CBJ,D,8,16,24,19,,,,,,,,,6.2
Luca Sbisa,29,NYI,D,0,1,1,0,,,,,,,,,0.3
Marco Scandella,28,BUF,D,6,7,13,-13,,,,,,,,,2.4
Colton Sceviour,29,FLA,C,5,10,15,-2,,,,,,,,,0.8
Tim Schaller,28,VAN,LW,3,7,10,-2,,,,,,,,,0.5
Mark Scheifele,25,WPG,C,38,46,84,8,,,,,,,,,9.4
Brayden Schenn,27,STL,C,17,37,54,3,,,,,,,,,5.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Luke Schenn,29,TOT,D,0,2,2,-10,,,,,,,,,-0.1
Luke Schenn,29,VAN,D,0,2,2,-4,,,,,,,,,0.2
Luke Schenn,29,ANA,D,0,0,0,-6,,,,,,,,,-0.3
Nikita Scherbak,23,LAK,RW,1,0,1,-4,,,,,,,,,-0.1
Cameron Schilling,30,WPG,D,0,1,1,0,,,,,,,,,0.1
David Schlemko,31,MTL,D,0,2,2,-1,,,,,,,,,0.4
Jordan Schmaltz,25,STL,D,0,2,2,-7,,,,,,,,,-0.1
Nick Schmaltz,22,TOT,C,7,18,25,-12,,,,,,,,,1.6
Nick Schmaltz,22,CHI,C,2,9,11,-4,,,,,,,,,0.3
Nick Schmaltz,22,ARI,C,5,9,14,-8,,,,,,,,,1.3
Nate Schmidt,27,VEG,D,9,21,30,22,,,,,,,,,6.9
Jimmy Schuldt,23,VEG,D,0,1,1,-1,,,,,,,,,0.0
Justin Schultz,28,PIT,D,2,13,15,0,,,,,,,,,2.0
Jaden Schwartz,26,STL,C,11,25,36,-6,,,,,,,,,2.6
Brent Seabrook,33,CHI,D,5,23,28,-6,,,,,,,,,3.2
Lukas Sedlak,25,CBJ,C,4,2,6,-5,,,,,,,,,0.1
Nick Seeler,25,MIN,D,2,5,7,-4,,,,,,,,,2.0
Tyler Seguin,27,DAL,C,33,47,80,17,,,,,,,,,9.7
Andrej Sekera,32,EDM,D,0,4,4,3,,,,,,,,,1.0
Brett Seney,22,NJD,LW,5,8,13,-14,,,,,,,,,0.6
Zachary Senyshyn,21,BOS,RW,1,0,1,0,,,,,,,,,0.2
Mikhail Sergachev,20,TBL,D,6,26,32,12,,,,,,,,,5.1
Damon Severson,24,NJD,D,11,28,39,-27,,,,,,,,,5.4
Kevin Shattenkirk,30,NYR,D,2,26,28,-15,,,,,,,,,3.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Andrew Shaw,27,MTL,C,19,28,47,17,,,,,,,,,5.5
Riley Sheahan,27,TOT,C,9,10,19,-9,,,,,,,,,0.6
Riley Sheahan,27,PIT,C,7,2,9,-7,,,,,,,,,0.3
Riley Sheahan,27,FLA,C,2,8,10,-2,,,,,,,,,0.3
Conor Sheary,26,BUF,LW,14,20,34,-18,,,,,,,,,2.4
Kiefer Sherwood,23,ANA,RW,6,6,12,1,,,,,,,,,1.0
Kole Sherwood,22,CBJ,RW,0,0,0,0,,,,,,,,,0.0
Devin Shore,24,TOT,C,10,19,29,-12,,,,,,,,,2.0
Devin Shore,24,DAL,C,5,12,17,0,,,,,,,,,1.5
Devin Shore,24,ANA,C,5,7,12,-12,,,,,,,,,0.5
Jonas Siegenthaler,21,WSH,D,0,4,4,6,,,,,,,,,1.0
Dylan Sikura,23,CHI,C,0,8,8,2,,,,,,,,,0.1
Jakob Silfverberg,28,ANA,LW,24,19,43,-9,,,,,,,,,4.7
Radim Simek,26,SJS,D,1,8,9,7,,,,,,,,,1.9
Wayne Simmonds,30,TOT,RW,17,13,30,-16,,,,,,,,,1.9
Wayne Simmonds,30,PHI,RW,16,11,27,-20,,,,,,,,,1.7
Wayne Simmonds,30,NSH,RW,1,2,3,4,,,,,,,,,0.2
Dominik Simon,24,PIT,C,8,20,28,8,,,,,,,,,2.3
Colton Sissons,25,NSH,C,15,15,30,20,,,,,,,,,3.3
Jeff Skinner,26,BUF,C,40,23,63,0,,,,,,,,,8.0
Brady Skjei,24,NYR,D,8,17,25,-4,,,,,,,,,4.5
Jaccob Slavin,24,CAR,D,8,23,31,0,,,,,,,,,6.0
Brendan Smith,29,NYR,D,4,9,13,-7,,,,,,,,,2.0
C.J. Smith,24,BUF,LW,2,0,2,0,,,,,,,,,0.2
Craig Smith,29,NSH,C,21,17,38,11,,,,,,,,,4.5
Gemel Smith,24,TOT,C,2,1,3,-4,,,,,,,,,0.2
Gemel Smith,24,DAL,C,2,1,3,-1,,,,,,,,,0.3
Gemel Smith,24,BOS,C,0,0,0,-3,,,,,,,,,-0.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Reilly Smith,27,VEG,RW,19,34,53,13,,,,,,,,,5.7
Zack Smith,30,OTT,C,9,19,28,-6,,,,,,,,,1.5
Devante Smith-Pelly,26,WSH,RW,4,4,8,-6,,,,,,,,,-0.1
Vladimir Sobotka,31,BUF,C,5,8,13,-20,,,,,,,,,-0.4
Carl Soderberg,33,COL,C,23,26,49,-5,,,,,,,,,4.7
Marcus Sorensen,26,SJS,RW,17,13,30,10,,,,,,,,,3.1
Nikita Soshnikov,25,STL,RW,0,0,0,-1,,,,,,,,,-0.1
Jason Spezza,35,DAL,C,8,19,27,-13,,,,,,,,,1.7
Ryan Spooner,27,TOT,C,3,6,9,-12,,,,,,,,,-0.2
Ryan Spooner,27,EDM,C,2,1,3,-6,,,,,,,,,-0.1
Ryan Spooner,27,NYR,C,1,1,2,-5,,,,,,,,,-0.2
Ryan Spooner,27,VAN,C,0,4,4,-1,,,,,,,,,0.1
Daniel Sprong,21,TOT,RW,14,9,23,-16,,,,,,,,,2.0
Daniel Sprong,21,ANA,RW,14,5,19,-9,,,,,,,,,2.1
Daniel Sprong,21,PIT,RW,0,4,4,-7,,,,,,,,,-0.1
Jared Spurgeon,29,MIN,D,14,29,43,-1,,,,,,,,,8.8
Eric Staal,34,MIN,C,22,30,52,-7,,,,,,,,,5.1
Jordan Staal,30,CAR,C,11,17,28,6,,,,,,,,,2.7
Marc Staal,32,NYR,D,3,10,13,-9,,,,,,,,,2.3
Drew Stafford,33,NJD,RW,5,8,13,-7,,,,,,,,,0.6
Steven Stamkos,28,TBL,C,45,53,98,4,,,,,,,,,11.5
Paul Stastny,33,VEG,C,13,29,42,14,,,,,,,,,4.7
Troy Stecher,24,VAN,D,2,21,23,9,,,,,,,,,5.1
Sam Steel,20,ANA,C,6,5,11,2,,,,,,,,,1.3
Alex Steen,34,STL,C,10,17,27,2,,,,,,,,,2.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Lee Stempniak,35,BOS,RW,0,0,0,-1,,,,,,,,,-0.1
Kevin Stenlund,22,CBJ,C,0,0,0,0,,,,,,,,,-0.1
Derek Stepan,28,ARI,C,15,20,35,-2,,,,,,,,,3.3
Chandler Stephenson,24,WSH,C,5,6,11,-13,,,,,,,,,-0.4
Riley Stillman,20,FLA,D,0,0,0,0,,,,,,,,,0.0
Mark Stone,26,TOT,RW,33,40,73,17,,,,,,,,,8.7
Mark Stone,26,OTT,RW,28,34,62,13,,,,,,,,,7.4
Mark Stone,26,VEG,RW,5,6,11,4,,,,,,,,,1.3
Michael Stone,28,CGY,D,0,5,5,0,,,,,,,,,0.6
Anton Stralman,32,TBL,D,2,15,17,12,,,,,,,,,3.1
Ben Street,31,ANA,C,3,2,5,-4,,,,,,,,,0.3
Dylan Strome,21,TOT,C,20,37,57,-8,,,,,,,,,5.1
Dylan Strome,21,CHI,C,17,34,51,2,,,,,,,,,4.9
Dylan Strome,21,ARI,C,3,3,6,-10,,,,,,,,,0.2
Ryan Strome,25,TOT,C,19,16,35,-3,,,,,,,,,3.3
Ryan Strome,25,NYR,C,18,15,33,-2,,,,,,,,,3.5
Ryan Strome,25,EDM,C,1,1,2,-1,,,,,,,,,-0.2
Nico Sturm,23,MIN,C,0,0,0,0,,,,,,,,,0.0
P.K. Subban,29,NSH,D,9,22,31,5,,,,,,,,,5.8
Libor Sulak,24,DET,D,0,0,0,-4,,,,,,,,,-0.2
Oskar Sundqvist,24,STL,C,14,17,31,-1,,,,,,,,,2.9
Antti Suomela,24,SJS,C,3,5,8,1,,,,,,,,,0.6
Andrej Sustr,28,ANA,D,0,0,0,0,,,,,,,,,0.1
Ryan Suter,34,MIN,D,7,40,47,-8,,,,,,,,,8.3
Brandon Sutter,29,VAN,C,4,2,6,-12,,,,,,,,,-0.1
Andrei Svechnikov,18,CAR,RW,20,17,37,0,,,,,,,,,3.9
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Brandon Tanev,27,WPG,LW,14,15,29,9,,,,,,,,,2.7
Chris Tanev,29,VAN,D,2,10,12,3,,,,,,,,,3.0
Eric Tangradi,29,NJD,C,0,1,1,-3,,,,,,,,,-0.1
Vladimir Tarasenko,27,STL,RW,33,35,68,8,,,,,,,,,8.3
Tomas Tatar,28,MTL,C,25,33,58,21,,,,,,,,,6.8
John Tavares,28,TOR,C,47,41,88,19,,,,,,,,,11.3
Matt Tennyson,28,BUF,D,0,0,0,-4,,,,,,,,,-0.2
Teuvo Teravainen,24,CAR,C,21,55,76,30,,,,,,,,,8.7
Troy Terry,21,ANA,C,4,9,13,8,,,,,,,,,1.4
Josh Teves,23,VAN,D,0,0,0,-1,,,,,,,,,-0.1
Alexandre Texier,19,CBJ,C,1,0,1,3,,,,,,,,,0.3
Shea Theodore,23,VEG,D,12,25,37,-4,,,,,,,,,6.2
Robert Thomas,19,STL,C,9,24,33,-2,,,,,,,,,2.7
Nate Thompson,34,TOT,C,5,8,13,-1,,,,,,,,,0.2
Nate Thompson,34,LAK,C,4,2,6,3,,,,,,,,,0.2
Nate Thompson,34,MTL,C,1,6,7,-4,,,,,,,,,0.1
Tage Thompson,21,BUF,C,7,5,12,-22,,,,,,,,,-0.1
Chris Thorburn,35,STL,RW,0,0,0,0,,,,,,,,,0.0
Joe Thornton,39,SJS,C,16,35,51,8,,,,,,,,,4.8
Chris Tierney,24,OTT,C,9,39,48,-22,,,,,,,,,2.5
Brady Tkachuk,19,OTT,LW,22,23,45,-10,,,,,,,,,4.4
Matthew Tkachuk,21,CGY,LW,34,43,77,14,,,,,,,,,8.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Devon Toews,24,NYI,D,5,13,18,7,,,,,,,,,3.8
Jonathan Toews,30,CHI,C,35,46,81,2,,,,,,,,,8.3
Tyler Toffoli,26,LAK,C,13,21,34,-16,,,,,,,,,2.2
Eeli Tolvanen,19,NSH,RW,1,1,2,2,,,,,,,,,0.3
Dominic Toninato,24,COL,C,1,0,1,0,,,,,,,,,0.2
Vincent Trocheck,25,FLA,C,10,24,34,-9,,,,,,,,,2.3
Zach Trotman,28,PIT,D,0,1,1,4,,,,,,,,,0.5
Jacob Trouba,24,WPG,D,8,42,50,8,,,,,,,,,7.5
Alex Tuch,22,VEG,RW,20,32,52,13,,,,,,,,,5.9
Dominic Turgeon,22,DET,C,0,0,0,-3,,,,,,,,,-0.2
Kyle Turris,29,NSH,C,7,16,23,-6,,,,,,,,,1.4
Urho Vaakanainen,20,BOS,D,0,0,0,-1,,,,,,,,,-0.1
Juuso Valimaki,20,CGY,D,1,2,3,-2,,,,,,,,,0.4
James van Riemsdyk,29,PHI,LW,27,21,48,-10,,,,,,,,,5.2
Trevor van Riemsdyk,27,CAR,D,3,11,14,-4,,,,,,,,,2.7
Thomas Vanek,35,DET,LW,16,20,36,-12,,,,,,,,,3.3
Phil Varone,28,PHI,C,3,4,7,-2,,,,,,,,,0.3
Sami Vatanen,27,NJD,D,4,13,17,-17,,,,,,,,,2.2
Frank Vatrano,24,FLA,LW,24,15,39,-10,,,,,,,,,4.0
Max Veronneau,23,OTT,RW,2,2,4,-5,,,,,,,,,0.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Kristian Vesalainen,19,WPG,W,0,1,1,0,,,,,,,,,0.0
Jimmy Vesey,25,NYR,LW,17,18,35,-6,,,,,,,,,2.9
Jake Virtanen,22,VAN,RW,15,10,25,-4,,,,,,,,,2.4
Marc-Edouard Vlasic,31,SJS,D,3,22,25,-6,,,,,,,,,3.2
Jakub Voracek,29,PHI,RW,20,46,66,-16,,,,,,,,,5.4
Mikhail Vorobyev,22,PHI,C,1,1,2,0,,,,,,,,,0.1
Jakub Vrana,22,WSH,LW,24,23,47,20,,,,,,,,,5.6
Austin Wagner,21,LAK,LW,12,9,21,2,,,,,,,,,2.7
Chris Wagner,27,BOS,C,12,7,19,3,,,,,,,,,1.6
Nathan Walker,24,WSH,C,0,1,1,1,,,,,,,,,0.1
Sean Walker,24,LAK,D,3,7,10,-8,,,,,,,,,1.5
Lucas Wallmark,23,CAR,C,10,18,28,-8,,,,,,,,,1.7
Austin Watson,27,NSH,LW,7,9,16,11,,,,,,,,,1.9
Jordan Weal,26,TOT,C,8,13,21,-8,,,,,,,,,1.2
Jordan Weal,26,PHI,C,3,6,9,-5,,,,,,,,,0.3
Jordan Weal,26,ARI,C,1,1,2,-3,,,,,,,,,-0.1
Jordan Weal,26,MTL,C,4,6,10,0,,,,,,,,,1.0
Shea Weber,33,MTL,D,14,19,33,15,,,,,,,,,6.8
Yannick Weber,30,NSH,D,2,6,8,7,,,,,,,,,2.3
MacKenzie Weegar,25,FLA,D,4,11,15,-3,,,,,,,,,2.7
Dale Weise,30,TOT,RW,5,6,11,-8,,,,,,,,,0.2
Dale Weise,30,PHI,RW,5,6,11,-6,,,,,,,,,0.5
Dale Weise,30,MTL,RW,0,0,0,-2,,,,,,,,,-0.2
Andy Welinski,25,ANA,D,1,3,4,-5,,,,,,,,,0.7
Alexander Wennberg,24,CBJ,C,2,23,25,-1,,,,,,,,,0.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Zach Werenski,21,CBJ,D,11,33,44,-12,,,,,,,,,6.5
Blake Wheeler,32,WPG,RW,20,71,91,0,,,,,,,,,8.2
Colin White,22,OTT,C,14,27,41,-24,,,,,,,,,2.6
Colton White,21,NJD,D,0,0,0,-2,,,,,,,,,-0.1
Chris Wideman,29,TOT,D,2,5,7,-12,,,,,,,,,0.3
Chris Wideman,29,OTT,D,2,3,5,-9,,,,,,,,,0.2
Chris Wideman,29,EDM,D,0,2,2,-2,,,,,,,,,0.1
Chris Wideman,29,FLA,D,0,0,0,-1,,,,,,,,,-0.1
Justin Williams,37,CAR,RW,23,30,53,-4,,,,,,,,,5.3
Colin Wilson,29,COL,C,12,15,27,-6,,,,,,,,,2.2
Garrett Wilson,27,PIT,LW,2,6,8,2,,,,,,,,,0.4
Scott Wilson,26,BUF,C,0,3,3,-8,,,,,,,,,-0.3
