player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Charlie Coyle,26,MIN,C,10,18,28,1,,,,,,,,,2.5
Charlie Coyle,26,BOS,C,2,4,6,-2,,,,,,,,,0.2
Adam Cracknell,33,ANA,RW,0,0,0,-1,,,,,,,,,-0.1
Sidney Crosby,31,PIT,C,35,65,100,18,,,,,,,,,11.4
Lawson Crouse,21,ARI,LW,11,14,25,5,,,,,,,,,2.6
Matt Cullen,42,PIT,C,7,13,20,6,,,,,,,,,1.5
Josh Currie,26,EDM,RW,2,3,5,2,,,,,,,,,0.5
Austin Czarnik,26,CGY,C,6,12,18,-1,,,,,,,,,1.2
Evgenii Dadonov,29,FLA,RW,28,42,70,-6,,,,,,,,,7.1
Rasmus Dahlin,18,BUF,D,9,35,44,-13,,,,,,,,,6.6
Carl Dahlstrom,24,CHI,D,0,6,6,9,,,,,,,,,1.5
Michael Dal Colle,22,NYI,LW,3,4,7,3,,,,,,,,,0.6
Trevor Daley,35,DET,D,2,6,8,-3,,,,,,,,,1.6
Zac Dalpe,29,CBJ,RW,0,1,1,1,,,,,,,,,0.1
Phillip Danault,25,MTL,LW,12,41,53,17,,,,,,,,,4.6
Marko Dano,24,COL,C,0,0,0,-1,,,,,,,,,-0.1
Laurent Dauphin,23,ARI,C,0,0,0,-1,,,,,,,,,-0.1
Brandon Davidson,27,CHI,D,0,1,1,-4,,,,,,,,,-0.2
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Calvin de Haan,27,CAR,D,1,13,14,1,,,,,,,,,3.1
Jacob de La Rose,23,DET,LW,3,6,9,-13,,,,,,,,,-0.4
Chase De Leo,23,ANA,C,0,0,0,1,,,,,,,,,0.0
Jean-Sebastien Dea,24,TOT,C,4,2,6,0,,,,,,,,,0.7
Jean-Sebastien Dea,24,NJD,C,3,2,5,-1,,,,,,,,,0.5
Jean-Sebastien Dea,24,PIT,C,1,0,1,1,,,,,,,,,0.2
Anthony DeAngelo,23,NYR,D,4,26,30,6,,,,,,,,,4.9
Alex DeBrincat,21,CHI,RW,41,35,76,0,,,,,,,,,8.8
Jake Debrusk,22,BOS,LW,27,15,42,2,,,,,,,,,5.2
Danny DeKeyser,28,DET,D,5,15,20,2,,,,,,,,,3.8
Michael Del Zotto,28,TOT,D,1,9,10,-2,,,,,,,,,1.8
Michael Del Zotto,28,VAN,D,1,3,4,3,,,,,,,,,1.2
Michael Del Zotto,28,ANA,D,0,3,3,-3,,,,,,,,,0.4
Michael Del Zotto,28,STL,D,0,3,3,-2,,,,,,,,,0.2
Dylan DeMelo,25,OTT,D,4,18,22,-1,,,,,,,,,3.9
Jason Demers,30,ARI,D,2,6,8,9,,,,,,,,,2.8
Travis Dermott,22,TOR,D,4,13,17,-5,,,,,,,,,2.1
Nicolas Deslauriers,27,MTL,LW,2,3,5,-12,,,,,,,,,-0.6
Phillip Di Giuseppe,25,TOT,LW,1,3,4,-3,,,,,,,,,0.0
Phillip Di Giuseppe,25,CAR,LW,1,3,4,-2,,,,,,,,,0.1
Phillip Di Giuseppe,25,NSH,LW,0,0,0,-1,,,,,,,,,-0.1
Jason Dickinson,23,DAL,C,6,16,22,9,,,,,,,,,1.9
Brenden Dillon,28,SJS,D,1,21,22,19,,,,,,,,,4.5
Christian Djoos,24,WSH,D,1,9,10,9,,,,,,,,,2.0
Max Domi,23,MTL,LW,28,44,72,20,,,,,,,,,8.2
Ryan Donato,22,TOT,C,10,15,25,-15,,,,,,,,,1.8
Ryan Donato,22,BOS,C,6,3,9,-11,,,,,,,,,0.4
Ryan Donato,22,MIN,C,4,12,16,-4,,,,,,,,,1.4
Matt Donovan,28,NSH,D,0,1,1,0,,,,,,,,,0.1
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Joonas Donskoi,26,SJS,RW,14,23,37,10,,,,,,,,,3.4
Jake Dotchin,24,ANA,D,0,1,1,-4,,,,,,,,,0.1
Drew Doughty,29,LAK,D,8,37,45,-34,,,,,,,,,5.7
Nic Dowd,28,WSH,C,8,14,22,10,,,,,,,,,2.1
Justin Dowling,28,DAL,C,0,1,1,-4,,,,,,,,,-0.2
Leon Draisaitl,23,EDM,C,50,55,105,2,,,,,,,,,12.6
Sheldon Dries,24,COL,C,3,3,6,-7,,,,,,,,,0.0
Jonathan Drouin,23,MTL,LW,18,35,53,-8,,,,,,,,,4.4
Dillon Dube,20,CGY,C,1,4,5,2,,,,,,,,,0.2
Brandon Dubinsky,32,CBJ,C,6,8,14,-16,,,,,,,,,0.2
Pierre-Luc Dubois,20,CBJ,LW,27,34,61,16,,,,,,,,,7.2
Matt Duchene,28,TOT,C,31,39,70,-3,,,,,,,,,7.7
Matt Duchene,28,OTT,C,27,31,58,-2,,,,,,,,,6.8
Matt Duchene,28,CBJ,C,4,8,12,-1,,,,,,,,,0.9
Anthony Duclair,23,TOT,LW,19,14,33,-2,,,,,,,,,3.6
Anthony Duclair,23,CBJ,LW,11,8,19,-3,,,,,,,,,1.9
Anthony Duclair,23,OTT,LW,8,6,14,1,,,,,,,,,1.7
Mathew Dumba,24,MIN,D,12,10,22,-5,,,,,,,,,4.2
Brian Dumoulin,27,PIT,D,3,20,23,31,,,,,,,,,5.7
Vince Dunn,22,STL,D,12,23,35,14,,,,,,,,,7.2
Christian Dvorak,22,ARI,C,2,5,7,-2,,,,,,,,,0.5
Ryan Dzingel,26,TOT,C,26,30,56,-9,,,,,,,,,5.7
Ryan Dzingel,26,OTT,C,22,22,44,-13,,,,,,,,,4.4
Ryan Dzingel,26,CBJ,C,4,8,12,4,,,,,,,,,1.3
Cody Eakin,27,VEG,C,22,19,41,19,,,,,,,,,5.2
Patrick Eaves,34,ANA,RW,0,0,0,-4,,,,,,,,,-0.3
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Jordan Eberle,28,NYI,RW,19,18,37,-6,,,,,,,,,3.4
Alexander Edler,32,VAN,D,10,24,34,3,,,,,,,,,6.4
Joel Edmundson,25,STL,D,2,9,11,8,,,,,,,,,3.2
Nikolaj Ehlers,22,WPG,LW,21,16,37,2,,,,,,,,,4.2
Christoffer Ehn,22,DET,C,3,6,9,-5,,,,,,,,,-0.1
Jack Eichel,22,BUF,C,28,54,82,-11,,,,,,,,,8.2
Aaron Ekblad,22,FLA,D,13,24,37,1,,,,,,,,,6.8
Mattias Ekholm,28,NSH,D,8,36,44,27,,,,,,,,,9.2
Oliver Ekman-Larsson,27,ARI,D,14,30,44,-16,,,,,,,,,7.9
Remi Elie,23,BUF,LW,0,1,1,-3,,,,,,,,,-0.3
Lars Eller,29,WSH,C,13,23,36,-1,,,,,,,,,2.3
Stefan Elliott,28,OTT,D,0,1,1,1,,,,,,,,,0.2
Ryan Ellis,28,NSH,D,7,34,41,21,,,,,,,,,8.4
Deryk Engelland,36,VEG,D,2,10,12,-3,,,,,,,,,2.5
Andreas Englund,23,OTT,D,0,0,0,-2,,,,,,,,,-0.1
Tyler Ennis,29,TOR,C,12,6,18,-6,,,,,,,,,1.8
Jonathan Ericsson,34,DET,D,3,2,5,-10,,,,,,,,,0.9
Loui Eriksson,33,VAN,LW,11,18,29,-11,,,,,,,,,1.9
Joel Eriksson Ek,22,MIN,C,7,7,14,-7,,,,,,,,,0.8
Adam Erne,23,TBL,LW,7,13,20,10,,,,,,,,,1.7
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Robby Fabbri,23,STL,C,2,4,6,-4,,,,,,,,,0.0
Dante Fabbro,20,NSH,D,1,0,1,-1,,,,,,,,,0.2
Radek Faksa,25,DAL,C,15,15,30,-3,,,,,,,,,2.6
Justin Falk,30,OTT,D,0,0,0,-4,,,,,,,,,-0.2
Oscar Fantenberg,27,TOT,D,2,2,4,3,,,,,,,,,1.9
Oscar Fantenberg,27,LAK,D,2,1,3,-2,,,,,,,,,1.3
Oscar Fantenberg,27,CGY,D,0,1,1,5,,,,,,,,,0.6
Jesper Fast,27,NYR,RW,8,12,20,-3,,,,,,,,,1.1
Justin Faulk,26,CAR,D,11,24,35,9,,,,,,,,,7.4
Taylor Fedun,30,DAL,D,4,7,11,2,,,,,,,,,2.9
Eric Fehr,33,MIN,RW,7,8,15,-8,,,,,,,,,0.8
Micheal Ferland,26,CAR,LW,17,23,40,13,,,,,,,,,4.7
Kevin Fiala,22,TOT,LW,13,26,39,-23,,,,,,,,,2.4
Kevin Fiala,22,NSH,LW,10,22,32,-11,,,,,,,,,2.3
Kevin Fiala,22,MIN,LW,3,4,7,-12,,,,,,,,,0.1
Valtteri Filppula,34,NYI,C,17,14,31,19,,,,,,,,,3.9
