"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iBLK","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"KEVIN.GRAVEL","D","20182019","EDM",28,366.43,0,1,1,2,30,46,71,0.91,0,0,1.98,42,20,39,13,6,1,4,0,0,0,0,0
"KEVIN.HAYES","F","20182019","NYR",39,561.88,5,10,7,22,62,87,126,6.65,8.06,5.75,7.64,7,35,23,28,33,3,11,0,0,215,220,-5
"KEVIN.LABANC","F","20182019","S.J",49,556.75,4,7,6,17,61,90,119,6.91,6.56,4.44,7.68,7,34,43,22,12,13,9,0,0,6,7,-1
"KEVIN.ROONEY","F","20182019","N.J",8,62.1,1,0,0,1,4,7,8,0.79,25,14.29,11.29,0,12,6,1,0,2,2,1,1,22,32,-10
"KEVIN.SHATTENKIRK","D","20182019","NYR",39,608.95,1,4,4,9,49,69,115,1.53,2.04,1.45,2.22,58,36,55,20,16,1,3,0,0,0,0,0
"KIEFER.SHERWOOD","F","20182019","ANA",46,496.18,5,0,4,9,49,76,95,4.96,10.2,6.58,6.53,16,75,56,18,16,3,5,0,0,5,6,-1
"KRIS.LETANG","D","20182019","PIT",44,864.75,7,8,6,21,111,141,190,3.77,6.31,4.96,2.67,63,59,60,33,36,9,6,0,0,0,0,0
"KRIS.RUSSELL","D","20182019","EDM",37,662.67,2,3,4,9,31,47,77,1.46,6.45,4.26,3.11,76,36,61,35,13,2,1,0,0,0,0,0
"KYLE.BRODZIAK","F","20182019","EDM",45,463.95,3,1,1,5,40,66,81,4.59,7.5,4.55,6.95,26,59,38,12,16,5,2,0,0,232,201,31
"KYLE.CLIFFORD","F","20182019","L.A",38,343.3,6,0,1,7,50,73,88,5.43,12,8.22,7.44,8,51,49,6,5,7,4,3,3,0,2,-2
"KYLE.CONNOR","F","20182019","WPG",47,686.35,6,8,3,17,98,119,152,7.73,6.12,5.04,6.5,8,5,40,16,35,5,2,0,0,0,0,0
"KYLE.OKPOSO","F","20182019","BUF",47,542.93,4,4,4,12,67,88,108,4.75,5.97,4.55,5.4,12,53,47,11,7,13,5,0,0,42,42,0
